telegram_index,n_cited,citation_class
123_gcn,1,0
124_gcn,0,0
125_gcn,0,0
126_gcn,4,1
127_gcn,5,1
128_gcn,12,1
134_gcn,0,0
129_gcn,1,0
130_gcn,3,1
131_gcn,1,0
135_gcn,2,0
133_gcn,0,0
132_gcn,2,0
136_gcn,2,0
137_gcn,2,0
139_gcn,4,1
138_gcn,2,0
140_gcn,0,0
142_gcn,1,0
143_gcn,1,0
141_gcn,1,0
144_gcn,0,0
31_atel,0,0
145_gcn,0,0
146_gcn,0,0
147_gcn,1,0
148_gcn,5,1
149_gcn,2,0
150_gcn,1,0
151_gcn,0,0
152_gcn,0,0
153_gcn,0,0
35_atel,2,0
34_atel,2,0
36_atel,0,0
37_atel,1,0
154_gcn,0,0
155_gcn,1,0
156_gcn,0,0
157_gcn,1,0
158_gcn,0,0
159_gcn,11,1
160_gcn,10,1
161_gcn,0,0
162_gcn,4,1
163_gcn,1,0
164_gcn,1,0
165_gcn,4,1
166_gcn,0,0
167_gcn,0,0
168_gcn,14,2
169_gcn,1,0
171_gcn,5,1
170_gcn,13,1
172_gcn,10,1
173_gcn,10,1
175_gcn,2,0
174_gcn,4,1
176_gcn,4,1
179_gcn,2,0
180_gcn,1,0
177_gcn,5,1
178_gcn,5,1
182_gcn,2,0
183_gcn,0,0
184_gcn,1,0
181_gcn,2,0
186_gcn,0,0
185_gcn,2,0
188_gcn,0,0
187_gcn,0,0
189_gcn,1,0
190_gcn,0,0
191_gcn,1,0
192_gcn,4,1
193_gcn,0,0
194_gcn,1,0
195_gcn,1,0
196_gcn,0,0
197_gcn,3,1
198_gcn,1,0
200_gcn,5,1
204_gcn,2,0
199_gcn,9,1
201_gcn,21,2
203_gcn,1,0
202_gcn,6,1
205_gcn,3,1
209_gcn,0,0
208_gcn,3,1
207_gcn,7,1
210_gcn,1,0
211_gcn,4,1
212_gcn,3,1
213_gcn,4,1
206_gcn,8,1
219_gcn,7,1
220_gcn,1,0
225_gcn,0,0
217_gcn,0,0
224_gcn,2,0
223_gcn,1,0
218_gcn,1,0
221_gcn,6,1
216_gcn,7,1
215_gcn,1,0
214_gcn,1,0
222_gcn,1,0
226_gcn,1,0
227_gcn,0,0
228_gcn,0,0
229_gcn,0,0
230_gcn,0,0
231_gcn,0,0
232_gcn,0,0
233_gcn,0,0
234_gcn,3,1
235_gcn,2,0
237_gcn,0,0
236_gcn,2,0
238_gcn,0,0
239_gcn,3,1
240_gcn,3,1
241_gcn,1,0
242_gcn,1,0
243_gcn,3,1
244_gcn,0,0
245_gcn,1,0
246_gcn,0,0
247_gcn,0,0
248_gcn,2,0
249_gcn,2,0
250_gcn,1,0
251_gcn,0,0
252_gcn,3,1
253_gcn,1,0
254_gcn,1,0
255_gcn,2,0
256_gcn,3,1
257_gcn,0,0
258_gcn,1,0
259_gcn,1,0
260_gcn,1,0
261_gcn,3,1
262_gcn,0,0
263_gcn,0,0
264_gcn,6,1
265_gcn,2,0
266_gcn,0,0
268_gcn,3,1
267_gcn,1,0
40_atel,0,0
270_gcn,1,0
269_gcn,1,0
271_gcn,1,0
272_gcn,0,0
273_gcn,1,0
274_gcn,1,0
275_gcn,0,0
276_gcn,0,0
277_gcn,5,1
278_gcn,2,0
279_gcn,0,0
280_gcn,0,0
281_gcn,2,0
282_gcn,2,0
283_gcn,0,0
284_gcn,1,0
285_gcn,0,0
287_gcn,0,0
286_gcn,0,0
288_gcn,0,0
289_gcn,0,0
290_gcn,1,0
291_gcn,4,1
292_gcn,0,0
299_gcn,0,0
298_gcn,7,1
296_gcn,2,0
295_gcn,0,0
297_gcn,0,0
293_gcn,0,0
294_gcn,3,1
302_gcn,1,0
300_gcn,3,1
301_gcn,2,0
303_gcn,0,0
306_gcn,0,0
312_gcn,2,0
41_atel,0,0
307_gcn,0,0
305_gcn,2,0
311_gcn,6,1
308_gcn,0,0
310_gcn,7,1
304_gcn,3,1
309_gcn,1,0
316_gcn,2,0
317_gcn,1,0
315_gcn,4,1
314_gcn,3,1
313_gcn,6,1
322_gcn,1,0
321_gcn,0,0
320_gcn,3,1
318_gcn,2,0
319_gcn,0,0
323_gcn,1,0
324_gcn,2,0
327_gcn,4,1
326_gcn,0,0
328_gcn,2,0
325_gcn,2,0
329_gcn,0,0
330_gcn,1,0
332_gcn,0,0
331_gcn,0,0
333_gcn,10,1
335_gcn,6,1
334_gcn,4,1
337_gcn,3,1
338_gcn,2,0
336_gcn,4,1
339_gcn,4,1
340_gcn,3,1
341_gcn,3,1
342_gcn,0,0
343_gcn,1,0
344_gcn,0,0
345_gcn,1,0
346_gcn,1,0
348_gcn,1,0
347_gcn,4,1
349_gcn,2,0
351_gcn,2,0
350_gcn,2,0
352_gcn,0,0
353_gcn,1,0
354_gcn,1,0
355_gcn,0,0
356_gcn,4,1
357_gcn,3,1
358_gcn,0,0
359_gcn,0,0
360_gcn,3,1
361_gcn,2,0
366_gcn,4,1
362_gcn,1,0
367_gcn,0,0
368_gcn,0,0
364_gcn,3,1
363_gcn,5,1
369_gcn,2,0
370_gcn,1,0
365_gcn,1,0
371_gcn,0,0
372_gcn,1,0
373_gcn,9,1
374_gcn,0,0
375_gcn,1,0
378_gcn,0,0
377_gcn,3,1
376_gcn,1,0
379_gcn,0,0
380_gcn,0,0
381_gcn,3,1
382_gcn,1,0
383_gcn,1,0
384_gcn,0,0
385_gcn,3,1
387_gcn,5,1
386_gcn,1,0
388_gcn,3,1
389_gcn,3,1
390_gcn,0,0
391_gcn,1,0
392_gcn,6,1
394_gcn,1,0
393_gcn,5,1
395_gcn,4,1
396_gcn,2,0
397_gcn,2,0
398_gcn,1,0
399_gcn,2,0
400_gcn,1,0
401_gcn,0,0
402_gcn,1,0
403_gcn,0,0
42_atel,0,0
404_gcn,1,0
406_gcn,1,0
405_gcn,4,1
407_gcn,3,1
408_gcn,1,0
43_atel,2,0
409_gcn,5,1
410_gcn,0,0
44_atel,0,0
412_gcn,1,0
45_atel,0,0
413_gcn,1,0
414_gcn,0,0
415_gcn,3,1
416_gcn,0,0
46_atel,1,0
417_gcn,6,1
419_gcn,2,0
420_gcn,0,0
418_gcn,0,0
422_gcn,2,0
421_gcn,0,0
47_atel,6,1
48_atel,3,1
423_gcn,1,0
425_gcn,0,0
424_gcn,0,0
426_gcn,0,0
49_atel,2,0
427_gcn,1,0
428_gcn,0,0
50_atel,2,0
429_gcn,2,0
51_atel,1,0
431_gcn,0,0
430_gcn,2,0
432_gcn,1,0
434_gcn,2,0
435_gcn,8,1
433_gcn,5,1
438_gcn,0,0
437_gcn,0,0
436_gcn,0,0
441_gcn,0,0
439_gcn,0,0
442_gcn,1,0
440_gcn,0,0
443_gcn,1,0
444_gcn,3,1
445_gcn,1,0
446_gcn,2,0
447_gcn,2,0
448_gcn,0,0
52_atel,15,2
53_atel,14,2
449_gcn,1,0
450_gcn,9,1
451_gcn,10,1
452_gcn,10,1
455_gcn,0,0
453_gcn,1,0
456_gcn,2,0
454_gcn,4,1
457_gcn,0,0
458_gcn,0,0
460_gcn,1,0
459_gcn,2,0
461_gcn,0,0
462_gcn,3,1
463_gcn,9,1
467_gcn,1,0
466_gcn,1,0
465_gcn,1,0
468_gcn,1,0
469_gcn,2,0
470_gcn,3,1
471_gcn,2,0
464_gcn,3,1
472_gcn,17,2
473_gcn,4,1
479_gcn,0,0
478_gcn,3,1
476_gcn,7,1
477_gcn,0,0
474_gcn,4,1
475_gcn,3,1
487_gcn,3,1
490_gcn,3,1
494_gcn,1,0
482_gcn,1,0
485_gcn,1,0
492_gcn,1,0
491_gcn,0,0
481_gcn,1,0
483_gcn,2,0
489_gcn,1,0
493_gcn,1,0
484_gcn,0,0
488_gcn,1,0
480_gcn,1,0
486_gcn,9,1
496_gcn,8,1
497_gcn,1,0
498_gcn,5,1
499_gcn,0,0
500_gcn,2,0
495_gcn,3,1
501_gcn,1,0
502_gcn,1,0
503_gcn,0,0
504_gcn,0,0
505_gcn,0,0
506_gcn,0,0
507_gcn,2,0
508_gcn,3,1
509_gcn,1,0
510_gcn,3,1
511_gcn,0,0
512_gcn,2,0
515_gcn,0,0
514_gcn,0,0
513_gcn,0,0
516_gcn,0,0
517_gcn,0,0
518_gcn,0,0
520_gcn,2,0
519_gcn,4,1
521_gcn,1,0
522_gcn,0,0
524_gcn,1,0
525_gcn,5,1
526_gcn,4,1
527_gcn,1,0
528_gcn,1,0
529_gcn,6,1
530_gcn,2,0
531_gcn,0,0
532_gcn,0,0
533_gcn,0,0
534_gcn,2,0
535_gcn,2,0
536_gcn,1,0
537_gcn,0,0
538_gcn,1,0
540_gcn,3,1
541_gcn,0,0
542_gcn,0,0
543_gcn,1,0
539_gcn,3,1
546_gcn,0,0
545_gcn,3,1
547_gcn,0,0
544_gcn,4,1
548_gcn,4,1
549_gcn,0,0
553_gcn,1,0
554_gcn,1,0
551_gcn,1,0
555_gcn,0,0
550_gcn,0,0
552_gcn,2,0
557_gcn,1,0
558_gcn,1,0
556_gcn,0,0
559_gcn,0,0
561_gcn,2,0
560_gcn,0,0
562_gcn,0,0
563_gcn,0,0
564_gcn,1,0
565_gcn,1,0
566_gcn,0,0
54_atel,1,0
567_gcn,3,1
568_gcn,10,1
572_gcn,3,1
577_gcn,2,0
569_gcn,1,0
573_gcn,13,1
576_gcn,5,1
571_gcn,3,1
570_gcn,13,1
575_gcn,3,1
574_gcn,1,0
55_atel,1,0
582_gcn,1,0
581_gcn,4,1
580_gcn,0,0
579_gcn,2,0
578_gcn,3,1
593_gcn,1,0
583_gcn,2,0
587_gcn,1,0
592_gcn,2,0
588_gcn,1,0
590_gcn,0,0
589_gcn,0,0
586_gcn,3,1
591_gcn,0,0
584_gcn,0,0
585_gcn,5,1
595_gcn,0,0
594_gcn,2,0
596_gcn,1,0
598_gcn,1,0
56_atel,0,0
597_gcn,0,0
599_gcn,1,0
602_gcn,3,1
600_gcn,0,0
603_gcn,3,1
601_gcn,2,0
607_gcn,0,0
604_gcn,1,0
608_gcn,1,0
605_gcn,0,0
606_gcn,2,0
609_gcn,0,0
610_gcn,0,0
611_gcn,0,0
613_gcn,1,0
612_gcn,2,0
614_gcn,1,0
615_gcn,0,0
616_gcn,1,0
57_atel,0,0
618_gcn,4,1
617_gcn,0,0
619_gcn,2,0
621_gcn,1,0
622_gcn,1,0
620_gcn,1,0
624_gcn,0,0
623_gcn,0,0
625_gcn,0,0
626_gcn,3,1
632_gcn,2,0
633_gcn,0,0
631_gcn,0,0
58_atel,0,0
630_gcn,0,0
629_gcn,3,1
628_gcn,0,0
627_gcn,0,0
636_gcn,1,0
635_gcn,1,0
634_gcn,0,0
637_gcn,0,0
639_gcn,0,0
638_gcn,0,0
640_gcn,0,0
642_gcn,3,1
641_gcn,0,0
643_gcn,0,0
647_gcn,0,0
646_gcn,4,1
645_gcn,8,1
644_gcn,6,1
649_gcn,0,0
648_gcn,0,0
652_gcn,0,0
650_gcn,4,1
651_gcn,1,0
654_gcn,0,0
653_gcn,1,0
656_gcn,0,0
655_gcn,1,0
657_gcn,1,0
658_gcn,0,0
659_gcn,0,0
660_gcn,0,0
661_gcn,1,0
664_gcn,1,0
663_gcn,0,0
662_gcn,0,0
665_gcn,3,1
666_gcn,0,0
667_gcn,1,0
668_gcn,1,0
669_gcn,2,0
670_gcn,1,0
671_gcn,0,0
672_gcn,1,0
673_gcn,1,0
674_gcn,1,0
675_gcn,1,0
678_gcn,2,0
677_gcn,4,1
676_gcn,4,1
681_gcn,2,0
680_gcn,1,0
679_gcn,0,0
682_gcn,1,0
683_gcn,3,1
684_gcn,1,0
685_gcn,1,0
686_gcn,2,0
687_gcn,3,1
688_gcn,0,0
693_gcn,4,1
691_gcn,1,0
692_gcn,2,0
689_gcn,5,1
690_gcn,2,0
694_gcn,1,0
695_gcn,1,0
696_gcn,5,1
697_gcn,0,0
698_gcn,3,1
700_gcn,0,0
701_gcn,1,0
699_gcn,2,0
704_gcn,1,0
705_gcn,7,1
702_gcn,0,0
703_gcn,4,1
706_gcn,2,0
709_gcn,1,0
707_gcn,0,0
711_gcn,0,0
710_gcn,0,0
708_gcn,1,0
714_gcn,0,0
713_gcn,1,0
712_gcn,1,0
715_gcn,2,0
721_gcn,0,0
722_gcn,2,0
717_gcn,0,0
718_gcn,4,1
719_gcn,0,0
720_gcn,1,0
724_gcn,0,0
723_gcn,3,1
716_gcn,2,0
727_gcn,0,0
726_gcn,0,0
725_gcn,0,0
728_gcn,0,0
729_gcn,0,0
730_gcn,1,0
732_gcn,0,0
731_gcn,0,0
733_gcn,0,0
736_gcn,8,1
734_gcn,2,0
735_gcn,0,0
739_gcn,2,0
740_gcn,1,0
741_gcn,0,0
737_gcn,5,1
738_gcn,5,1
742_gcn,2,0
743_gcn,0,0
744_gcn,0,0
746_gcn,2,0
745_gcn,1,0
747_gcn,1,0
748_gcn,0,0
749_gcn,1,0
59_atel,0,0
750_gcn,1,0
60_atel,0,0
751_gcn,0,0
62_atel,0,0
61_atel,0,0
752_gcn,0,0
753_gcn,1,0
754_gcn,1,0
755_gcn,0,0
756_gcn,0,0
757_gcn,0,0
758_gcn,0,0
759_gcn,0,0
764_gcn,1,0
762_gcn,3,1
761_gcn,2,0
760_gcn,0,0
763_gcn,2,0
765_gcn,6,1
766_gcn,1,0
768_gcn,0,0
767_gcn,0,0
769_gcn,0,0
770_gcn,4,1
771_gcn,1,0
772_gcn,1,0
773_gcn,0,0
774_gcn,0,0
775_gcn,1,0
777_gcn,0,0
776_gcn,0,0
778_gcn,0,0
779_gcn,6,1
781_gcn,0,0
780_gcn,0,0
782_gcn,1,0
783_gcn,0,0
784_gcn,0,0
785_gcn,2,0
786_gcn,1,0
787_gcn,0,0
788_gcn,1,0
790_gcn,0,0
789_gcn,2,0
791_gcn,3,1
793_gcn,1,0
794_gcn,1,0
795_gcn,7,1
796_gcn,4,1
798_gcn,3,1
797_gcn,2,0
801_gcn,14,2
800_gcn,3,1
802_gcn,0,0
799_gcn,1,0
809_gcn,3,1
806_gcn,13,1
808_gcn,0,0
803_gcn,14,2
804_gcn,9,1
805_gcn,2,0
807_gcn,1,0
810_gcn,0,0
811_gcn,1,0
812_gcn,0,0
819_gcn,1,0
813_gcn,0,0
817_gcn,1,0
816_gcn,1,0
818_gcn,1,0
814_gcn,3,1
815_gcn,1,0
824_gcn,6,1
820_gcn,5,1
823_gcn,2,0
821_gcn,0,0
822_gcn,1,0
826_gcn,0,0
825_gcn,4,1
827_gcn,1,0
828_gcn,1,0
829_gcn,1,0
830_gcn,0,0
832_gcn,1,0
831_gcn,0,0
834_gcn,0,0
835_gcn,0,0
836_gcn,1,0
833_gcn,0,0
837_gcn,1,0
838_gcn,2,0
839_gcn,1,0
840_gcn,1,0
842_gcn,2,0
843_gcn,2,0
841_gcn,4,1
845_gcn,1,0
846_gcn,2,0
847_gcn,1,0
844_gcn,1,0
848_gcn,0,0
849_gcn,1,0
850_gcn,1,0
851_gcn,1,0
852_gcn,0,0
853_gcn,3,1
854_gcn,0,0
855_gcn,1,0
857_gcn,3,1
856_gcn,0,0
63_atel,0,0
859_gcn,2,0
858_gcn,0,0
861_gcn,2,0
860_gcn,1,0
862_gcn,0,0
863_gcn,2,0
864_gcn,4,1
867_gcn,0,0
865_gcn,4,1
866_gcn,3,1
868_gcn,1,0
870_gcn,1,0
869_gcn,2,0
871_gcn,1,0
872_gcn,2,0
873_gcn,0,0
874_gcn,4,1
875_gcn,1,0
876_gcn,2,0
877_gcn,1,0
878_gcn,4,1
879_gcn,5,1
884_gcn,0,0
882_gcn,1,0
883_gcn,0,0
880_gcn,7,1
881_gcn,2,0
885_gcn,2,0
886_gcn,4,1
887_gcn,3,1
889_gcn,2,0
888_gcn,1,0
890_gcn,0,0
891_gcn,0,0
892_gcn,1,0
893_gcn,0,0
894_gcn,0,0
895_gcn,4,1
896_gcn,1,0
897_gcn,1,0
898_gcn,0,0
64_atel,17,2
900_gcn,5,1
901_gcn,1,0
899_gcn,6,1
902_gcn,0,0
903_gcn,0,0
904_gcn,0,0
905_gcn,0,0
907_gcn,1,0
906_gcn,0,0
908_gcn,0,0
909_gcn,0,0
910_gcn,0,0
911_gcn,0,0
912_gcn,0,0
913_gcn,0,0
914_gcn,0,0
915_gcn,0,0
916_gcn,2,0
917_gcn,1,0
918_gcn,0,0
919_gcn,0,0
65_atel,0,0
922_gcn,3,1
921_gcn,1,0
923_gcn,0,0
924_gcn,2,0
926_gcn,1,0
925_gcn,1,0
927_gcn,0,0
928_gcn,0,0
929_gcn,0,0
930_gcn,1,0
931_gcn,0,0
932_gcn,4,1
933_gcn,10,1
938_gcn,5,1
934_gcn,6,1
941_gcn,0,0
937_gcn,4,1
939_gcn,6,1
940_gcn,0,0
935_gcn,2,0
936_gcn,1,0
942_gcn,0,0
943_gcn,1,0
945_gcn,4,1
944_gcn,1,0
946_gcn,1,0
947_gcn,2,0
949_gcn,4,1
948_gcn,2,0
951_gcn,2,0
950_gcn,3,1
953_gcn,6,1
956_gcn,4,1
952_gcn,1,0
955_gcn,3,1
954_gcn,0,0
959_gcn,13,1
960_gcn,10,1
961_gcn,12,1
963_gcn,7,1
965_gcn,5,1
964_gcn,0,0
967_gcn,5,1
968_gcn,3,1
969_gcn,0,0
970_gcn,8,1
971_gcn,1,0
972_gcn,2,0
958_gcn,3,1
966_gcn,3,1
962_gcn,12,1
977_gcn,0,0
976_gcn,1,0
981_gcn,0,0
979_gcn,2,0
973_gcn,4,1
978_gcn,1,0
982_gcn,0,0
974_gcn,3,1
980_gcn,1,0
975_gcn,3,1
984_gcn,0,0
986_gcn,2,0
985_gcn,5,1
983_gcn,4,1
989_gcn,1,0
990_gcn,1,0
988_gcn,2,0
987_gcn,8,1
991_gcn,1,0
993_gcn,1,0
992_gcn,1,0
994_gcn,0,0
996_gcn,0,0
995_gcn,1,0
997_gcn,2,0
998_gcn,0,0
999_gcn,0,0
1001_gcn,0,0
1000_gcn,1,0
1002_gcn,1,0
1003_gcn,0,0
1004_gcn,0,0
1005_gcn,0,0
1006_gcn,0,0
1007_gcn,0,0
66_atel,7,1
1008_gcn,1,0
1009_gcn,1,0
1010_gcn,0,0
1013_gcn,0,0
1012_gcn,0,0
1011_gcn,5,1
1023_gcn,0,0
1019_gcn,0,0
1020_gcn,0,0
1016_gcn,0,0
1015_gcn,1,0
1022_gcn,0,0
1021_gcn,0,0
1017_gcn,0,0
1018_gcn,3,1
1024_gcn,0,0
1029_gcn,1,0
1026_gcn,0,0
1027_gcn,0,0
1025_gcn,0,0
1028_gcn,0,0
1030_gcn,0,0
1031_gcn,0,0
1032_gcn,0,0
1033_gcn,2,0
1035_gcn,1,0
1038_gcn,0,0
1037_gcn,0,0
1034_gcn,0,0
1036_gcn,2,0
1039_gcn,0,0
1040_gcn,0,0
1042_gcn,0,0
1043_gcn,1,0
1041_gcn,8,1
1044_gcn,0,0
1045_gcn,1,0
1048_gcn,0,0
1047_gcn,2,0
1046_gcn,3,1
1050_gcn,0,0
1049_gcn,2,0
1053_gcn,0,0
1055_gcn,1,0
1052_gcn,1,0
1054_gcn,0,0
1051_gcn,0,0
1057_gcn,0,0
1056_gcn,0,0
67_atel,16,2
1059_gcn,0,0
1058_gcn,0,0
1060_gcn,1,0
1061_gcn,0,0
68_atel,4,1
1062_gcn,0,0
69_atel,0,0
1063_gcn,1,0
70_atel,0,0
1064_gcn,0,0
1065_gcn,0,0
1067_gcn,0,0
1066_gcn,0,0
1068_gcn,1,0
1069_gcn,0,0
1070_gcn,1,0
1072_gcn,0,0
1071_gcn,0,0
1073_gcn,0,0
1074_gcn,0,0
1076_gcn,3,1
1075_gcn,4,1
1079_gcn,1,0
1077_gcn,2,0
1078_gcn,1,0
1080_gcn,0,0
1081_gcn,0,0
1082_gcn,0,0
71_atel,0,0
72_atel,1,0
1083_gcn,0,0
1084_gcn,0,0
1085_gcn,0,0
1086_gcn,0,0
1087_gcn,0,0
73_atel,0,0
1088_gcn,0,0
1089_gcn,1,0
74_atel,0,0
75_atel,0,0
1091_gcn,0,0
1090_gcn,1,0
1092_gcn,1,0
76_atel,0,0
1095_gcn,0,0
1094_gcn,0,0
1093_gcn,0,0
1097_gcn,7,1
1096_gcn,9,1
1100_gcn,3,1
1101_gcn,0,0
1098_gcn,1,0
1099_gcn,2,0
1102_gcn,1,0
1103_gcn,0,0
1104_gcn,0,0
1106_gcn,0,0
1105_gcn,1,0
1109_gcn,5,1
1108_gcn,3,1
1107_gcn,4,1
1113_gcn,1,0
1112_gcn,0,0
1110_gcn,0,0
1111_gcn,0,0
1114_gcn,0,0
1115_gcn,0,0
1116_gcn,0,0
1117_gcn,0,0
1119_gcn,4,1
1118_gcn,11,1
1121_gcn,0,0
1122_gcn,2,0
1123_gcn,5,1
1124_gcn,2,0
1125_gcn,0,0
1126_gcn,0,0
1127_gcn,1,0
1129_gcn,0,0
1128_gcn,1,0
1130_gcn,1,0
1131_gcn,0,0
1132_gcn,0,0
77_atel,0,0
1133_gcn,0,0
1134_gcn,0,0
1135_gcn,0,0
1137_gcn,2,0
1138_gcn,1,0
1139_gcn,2,0
1136_gcn,9,1
1140_gcn,0,0
1141_gcn,1,0
1142_gcn,0,0
1143_gcn,3,1
1144_gcn,0,0
1147_gcn,5,1
1148_gcn,1,0
1145_gcn,0,0
1146_gcn,0,0
1153_gcn,2,0
1152_gcn,6,1
1150_gcn,10,1
1151_gcn,4,1
1149_gcn,3,1
78_atel,0,0
1154_gcn,1,0
1155_gcn,2,0
1156_gcn,1,0
1157_gcn,1,0
1158_gcn,2,0
1159_gcn,0,0
1160_gcn,2,0
1161_gcn,1,0
1162_gcn,0,0
1163_gcn,0,0
1164_gcn,2,0
1168_gcn,0,0
1166_gcn,1,0
1165_gcn,1,0
1167_gcn,0,0
1169_gcn,6,1
1170_gcn,1,0
1171_gcn,0,0
1172_gcn,0,0
1173_gcn,9,1
1174_gcn,0,0
1175_gcn,2,0
1176_gcn,0,0
1178_gcn,1,0
1177_gcn,1,0
1179_gcn,2,0
1180_gcn,0,0
1181_gcn,0,0
1182_gcn,0,0
1183_gcn,0,0
1184_gcn,0,0
79_atel,1,0
1187_gcn,1,0
1186_gcn,2,0
80_atel,7,1
1185_gcn,6,1
1194_gcn,8,1
1189_gcn,2,0
1190_gcn,1,0
1195_gcn,3,1
1191_gcn,11,1
1192_gcn,1,0
1188_gcn,6,1
1193_gcn,0,0
1200_gcn,3,1
1196_gcn,2,0
1197_gcn,5,1
1198_gcn,1,0
1199_gcn,3,1
1203_gcn,0,0
1202_gcn,3,1
1201_gcn,3,1
1204_gcn,0,0
1205_gcn,0,0
1206_gcn,0,0
1207_gcn,1,0
1208_gcn,0,0
1209_gcn,2,0
1210_gcn,0,0
1211_gcn,0,0
1212_gcn,0,0
1213_gcn,1,0
1214_gcn,0,0
1215_gcn,1,0
1216_gcn,0,0
81_atel,0,0
1217_gcn,0,0
1218_gcn,0,0
1220_gcn,11,1
1219_gcn,0,0
1222_gcn,0,0
1221_gcn,8,1
1226_gcn,0,0
1224_gcn,2,0
1223_gcn,3,1
1225_gcn,3,1
1227_gcn,2,0
1228_gcn,0,0
1232_gcn,5,1
1231_gcn,0,0
1230_gcn,0,0
1229_gcn,7,1
1233_gcn,0,0
1235_gcn,0,0
1236_gcn,0,0
1238_gcn,0,0
1239_gcn,0,0
1237_gcn,0,0
1240_gcn,1,0
1241_gcn,2,0
1242_gcn,0,0
1243_gcn,0,0
1244_gcn,0,0
1246_gcn,0,0
1245_gcn,0,0
82_atel,0,0
1247_gcn,0,0
1248_gcn,1,0
1250_gcn,3,1
1249_gcn,0,0
83_atel,0,0
1251_gcn,2,0
1252_gcn,1,0
1253_gcn,1,0
1255_gcn,0,0
1254_gcn,1,0
1257_gcn,0,0
1256_gcn,0,0
1258_gcn,0,0
1259_gcn,0,0
1262_gcn,4,1
1260_gcn,1,0
1261_gcn,0,0
1263_gcn,3,1
1264_gcn,0,0
1266_gcn,0,0
1265_gcn,0,0
1269_gcn,0,0
1267_gcn,6,1
1268_gcn,0,0
1270_gcn,0,0
1271_gcn,1,0
1272_gcn,0,0
1273_gcn,2,0
1274_gcn,1,0
1277_gcn,0,0
1276_gcn,1,0
1278_gcn,1,0
1275_gcn,0,0
1279_gcn,0,0
1280_gcn,1,0
1281_gcn,4,1
1286_gcn,0,0
1287_gcn,0,0
1284_gcn,2,0
1285_gcn,8,1
1282_gcn,0,0
1283_gcn,0,0
1289_gcn,0,0
1290_gcn,7,1
1291_gcn,5,1
1294_gcn,6,1
1292_gcn,1,0
84_atel,0,0
1288_gcn,0,0
1293_gcn,6,1
1300_gcn,2,0
1299_gcn,2,0
1301_gcn,0,0
1304_gcn,0,0
1297_gcn,0,0
1303_gcn,0,0
1296_gcn,7,1
1295_gcn,3,1
1298_gcn,5,1
1302_gcn,0,0
1306_gcn,0,0
1305_gcn,1,0
1308_gcn,2,0
1307_gcn,1,0
1309_gcn,0,0
1310_gcn,0,0
1313_gcn,0,0
1311_gcn,0,0
1314_gcn,0,0
1312_gcn,0,0
1315_gcn,8,1
1316_gcn,0,0
1319_gcn,5,1
1317_gcn,1,0
1318_gcn,0,0
1320_gcn,1,0
1321_gcn,0,0
1323_gcn,0,0
1322_gcn,1,0
85_atel,38,2
1324_gcn,0,0
1325_gcn,3,1
1332_gcn,2,0
1331_gcn,0,0
1326_gcn,8,1
1328_gcn,5,1
1329_gcn,4,1
1330_gcn,4,1
1337_gcn,2,0
1336_gcn,0,0
1335_gcn,1,0
1334_gcn,5,1
1333_gcn,2,0
1338_gcn,0,0
1340_gcn,2,0
1342_gcn,1,0
1339_gcn,1,0
1341_gcn,2,0
1343_gcn,0,0
1346_gcn,1,0
1344_gcn,0,0
